ADD on Orange with price 1.00 changed to 3.00
ADD on Orange with price 2.00 changed to 4.00
MULTIPLY on Beans with price 2.00 changed to 2.0000
ADD on Meat with price 23.00 changed to 40.00
ADD on Meat with price 21.00 changed to 38.00
MULTIPLY on Meat with price 40.00 changed to 240.0000
MULTIPLY on Meat with price 38.00 changed to 228.0000
MULTIPLY on Meat with price 19.00 changed to 114.0000
MULTIPLY on Meat with price 21.00 changed to 126.0000
MULTIPLY on Meat with price 22.00 changed to 132.0000
MULTIPLY on Meat with price 13.00 changed to 78.0000
ADD on Meat with price 240.0000 changed to 244.0000
ADD on Meat with price 228.0000 changed to 232.0000
ADD on Meat with price 114.0000 changed to 118.0000
ADD on Meat with price 126.0000 changed to 130.0000
ADD on Meat with price 132.0000 changed to 136.0000
ADD on Meat with price 78.0000 changed to 82.0000
ADD on Meat with price 18.00 changed to 22.00
ADD on Meat with price 14.00 changed to 18.00
ADD on Meat with price 21.00 changed to 25.00
ADD on Meat with price 22.00 changed to 26.00
ADD on Meat with price 13.00 changed to 17.00
ADD on Meat with price 12.00 changed to 16.00
